Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_Change_Dealer_Net_Position,Pct_Change_Lev_Money_Net_Position
2018-10-30,6276.4644997238,4535314,4.936692808538831e+19,3649362.5,446339104,3.0850115780363e+22,120.38276936,4144493.7142857136,115.800003,36.779999,13.61,267.769989,114.160004,25.83,3.1853230530000003,9,0.0,0.0,68.6,57.9,-1.0,0.07335907335907338
2018-11-06,6425.917801818498,4836778,5.18210291313935e+19,3636662.5,448704036,3.0856784270125e+22,116.73669246,4141621.0,116.040001,38.02,13.65,275.119995,112.370003,25.639999,3.11946737,13,0.0,0.0,64.4,67.5,0.0,-1.3165467625899279
2018-11-13,6282.438677162901,4629808,4.667034714075365e+19,3625225.0,451035186,3.0856784270125e+22,131.79978001,4145326.857142857,113.699997,35.970001,13.15,272.059998,114.019997,25.93,3.11946737,13,0.9,0.0,69.7,66.7,100.0,-2.238636363636364
2018-11-20,4246.3127740611,4748874,4.464303821886146e+19,3613800.0,453263260,2.85757194027127e+22,250.32744292,4111868.5714285714,115.66999799999999,35.59,13.45,264.119995,115.059998,25.82,3.11946737,13,0.0,0.0,57.7,51.3,-1.0,1.201834862385321
2018-11-27,3792.1923641199,4349601,4.078799652772691e+19,3603000.0,455302278,2.85757194027127e+22,264.92195655,4098459.7142857136,114.949997,35.49000200000001,13.29,268.399994,115.010002,25.99,3.11946737,13,0.0,0.0,63.7,55.1,0.0,0.3625
2018-12-04,3889.2921196935,4183185,3.705410783523568e+19,3592825.0,457359836,2.42511198823501e+22,241.57733143,4087633.4285714286,117.120003,35.91,13.62,270.25,117.82,25.879998999999998,3.026669917,12,0.0,0.0,73.0,70.2,0.0,-0.7186544342507645
2018-12-11,3360.9466282565995,4213820,3.5398791621400744e+19,3581787.5,459386224,2.42511198823501e+22,168.85995611,4087989.7142857136,117.540001,34.439999,13.66,264.130005,118.879997,26.040001,3.026669917,12,0.0,0.0,73.2,68.0,0.0,1.2391304347826086
2018-12-18,3562.8949463603003,4446847,3.807643445572598e+19,3569925.0,461440875,2.19319194609586e+22,150.31723186000005,4084851.142857143,118.150002,32.139998999999996,13.75,255.080002,119.599998,25.959999,3.026669917,12,0.0,0.0,70.9,73.7,0.0,-1.5922330097087378
2018-12-25,3767.350023900901,4167090,3.934598032336096e+19,3556350.0,463430651,2.19319194609586e+22,167.04652865,4076870.0,120.019997,29.27,13.87,234.33999599999999,121.32,25.549999,3.026669917,12,0.0,0.0,69.7,66.8,0.0,-1.9262295081967211
2019-01-01,3715.5644411293,2786132,4.180139842484776e+19,3542400.0,465325537,2.41316854202662e+22,78.25103025,4061829.6,121.25,31.16,14.52,249.919998,121.510002,25.450001,2.95281538,10,1.3,0.0,66.1,64.4,100.0,-0.4424778761061947
2019-01-08,3992.9861439065003,4024300,4.264664254092431e+19,3529037.5,467390332,2.41316854202662e+22,130.47634191,4056822.2857142864,121.529999,33.48,14.69,256.769989,121.43,25.43,2.95281538,10,0.0,0.0,69.3,70.4,-1.0,-1.6031746031746033
2019-01-15,3568.7512587365995,4100607,4.139474140471775e+19,3516237.5,469521493,2.52715378809958e+22,146.77180027,4050975.2857142864,121.879997,33.900002,14.6,260.350006,120.040001,25.450001,2.95281538,10,0.0,0.0,76.4,65.3,-100.0,-14.0
2019-01-22,3581.5519472363,4124968,4.040973072326088e+19,3504137.5,471684472,2.52715378809958e+22,142.30427927,4047479.4285714286,121.449997,34.02,14.39,262.859985,120.370003,25.559998999999998,2.95281538,10,0.0,0.0,67.1,57.5,-0.0,-0.032388663967611336
2019-01-29,3395.0186452496996,4286211,4.264309109317817e+19,3491337.5,473924928,2.49737828519513e+22,153.58622978,4040731.4285714286,123.980003,34.07,14.88,263.410004,121.019997,25.469998999999998,2.95281538,10,0.0,2.4,68.2,63.6,96.0,-0.606694560669456
2019-02-05,3419.7678987458007,4258034,4.232302767779248e+19,3478525.0,476174324,2.49737828519513e+22,151.33883584,4028254.0,124.279999,35.41,14.87,273.100006,120.970001,25.530001000000002,2.930993525,9,0.0,2.5,65.2,62.6,-0.0,-0.4521276595744681
2019-02-12,3579.3418810265002,4607413,4.449449081313966e+19,3465225.0,478415273,2.60340251433503e+22,148.26986379000004,4028133.7142857136,123.860001,34.830002,14.73,274.100006,121.559998,25.73,2.930993525,9,0.0,2.9,50.5,62.2,-0.0,-4.815533980582523
